date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:52:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2005:52:05%20GMT	http://web.archive.org/web/20080105035258/http://pixma-faq.periastron.com/	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035258/http_/pixma-faq.periastron.com/index.html	(from )
01:52:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2005:52:05%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/1.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/1.0.delayed	(from )
01:52:09	36089/36089	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2005:52:07%20GMT	https://web.archive.org/web/20080105035258/http://pixma-faq.periastron.com/1.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035258/http_/pixma-faq.periastron.com/1.html	(from )
01:52:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2005:52:10%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/2.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/2.2.delayed	(from )
01:52:13	18684/18684	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2005:52:12%20GMT	https://web.archive.org/web/20080105035303/http://pixma-faq.periastron.com/2.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035303/http_/pixma-faq.periastron.com/2.html	(from )
01:52:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2005:52:13%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/3.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/3.html	(from )
01:52:15	34465/34465	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2005:52:13%20GMT	https://web.archive.org/web/20080105035309/http://pixma-faq.periastron.com/3.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035309/http_/pixma-faq.periastron.com/3.html	(from )
01:52:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2005:52:14%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/4.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/4.html	(from )
01:52:16	27667/27667	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2005:52:15%20GMT	https://web.archive.org/web/20080105035314/http://pixma-faq.periastron.com/4.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035314/http_/pixma-faq.periastron.com/4.html	(from )
01:52:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2005:52:15%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/5.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/5.html	(from )
